question_id,evaluation_group,question,gold_sql,baseline_generated_sql,repaired_generated_sql,before_EX,before_Inv,before_asa_strict,before_asa_lower_bound,before_fcr_hard_finding_codes,after_EX,after_Inv,after_asa_strict,after_asa_lower_bound,after_fcr_hard_finding_codes,verifier_caught,verifier_actionable,verifier_answers_question,verifier_mismatch_type,verifier_mismatch_detail,verifier_repair_hint,verifier_confidence,verifier_failed_evidence,repair_attempted,repair_generated,repair_status,repair_mode,repair_error,repair_edit_summary,repair_confidence,final_sql_repaired,missed_by_verifier,caught_but_not_actionable,actionable_but_not_attempted,attempted_but_no_sql,generated_but_inv_not_fixed,inv_fixed,fixed_but_ex_broken,fixed_and_ex_preserved,harmful_gate_accept,over_repair_candidate,primary_bottleneck
booksql_070888,A_correct_executable,How much did Jose Camacho spend on Arizona Dept. of Revenue Payable in July during last year?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where T1.customers = ""Jose Camacho"" and instr(account,""Arizona Dept. of Revenue Payable"") and strftime(""%m"", transaction_date) = '07' and strftime(""%Y"", transaction_date) = strftime('%Y', current_date) - 1 and account_type in ('Expense','Other Expense')","SELECT SUM(Credit) 
FROM master_txn_table 
JOIN employees ON master_txn_table.businessID = employees.businessID 
JOIN chart_of_accounts ON master_txn_table.businessID = chart_of_accounts.businessID 
WHERE employees.Employee_name = 'Jose Camacho' 
AND chart_of_accounts.Account_name = 'Arizona Dept. of Revenue Payable' 
AND Transaction_DATE BETWEEN date('now','-1 year','start of month','+7 months','-1 day') AND date('now','-1 year','start of month','+7 months','+30 days','-1 day');","SELECT SUM(Credit) 
FROM master_txn_table 
JOIN employees ON master_txn_table.businessID = employees.businessID 
JOIN chart_of_accounts ON master_txn_table.businessID = chart_of_accounts.businessID 
WHERE employees.Employee_name = 'Jose Camacho' 
AND chart_of_accounts.Account_name = 'Arizona Dept. of Revenue Payable' 
AND Transaction_DATE BETWEEN date('now','-1 year','start of month','+7 months','-1 day') AND date('now','-1 year','start of month','+7 months','+30 days','-1 day');",1,0,0,0,"[""posting_side_reversal""]",1,0,0,0,"[""posting_side_reversal""]",False,False,True,,,,high,[],False,False,skipped,,,,,False,True,False,False,False,False,False,False,False,False,False,verifier_miss
booksql_070889,B_wrong_executable,What our monthly spend on Erica Smith,"select date(transaction_date, 'start of month'), sum(debit) from master_txn_table where vendor = ""Erica Smith"" group by date(transaction_date, 'start of month')","SELECT SUM(master_txn_table.Amount) AS Monthly_Spend
FROM master_txn_table
JOIN customers ON master_txn_table.Customers = customers.customer_name
WHERE customers.customer_full_name = 'Erica Smith'
AND master_txn_table.Transaction_DATE BETWEEN date('now', 'start of month') AND date('now');","SELECT SUM(master_txn_table.Amount) AS Monthly_Spend
FROM master_txn_table
JOIN customers ON master_txn_table.Customers = customers.customer_name
WHERE customers.customer_full_name = 'Erica Smith'
AND master_txn_table.Transaction_DATE BETWEEN date('now', 'start of month') AND date('now');",0,,0,0,[],0,,0,0,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070893,B_wrong_executable,How many Inorganic Gases did we sell to Kevin White Last month?,"select sum(quantity) from master_txn_table where customers = ""Kevin White"" and product_service = 'Inorganic Gases' and transaction_type in ('invoice', 'sales receipt') and transaction_date BETWEEN date( current_date, ""start of month"", ""-1 months"") AND date( current_date, ""start of month"", ""-1 days"") ","SELECT COUNT(*) 
FROM master_txn_table 
JOIN customers ON master_txn_table.Customers = customers.customer_name 
JOIN products ON master_txn_table.Product_Service = products.Product_Service 
WHERE customers.customer_full_name = 'Kevin White' 
  AND products.Product_Service_type = 'Inorganic Gases' 
  AND master_txn_table.Transaction_DATE BETWEEN date('now','-1 month','start of month') AND date('now','-1 month','end of month');","SELECT COUNT(DISTINCT master_txn_table.Transaction_ID) 
FROM master_txn_table 
JOIN customers ON master_txn_table.Customers = customers.customer_name 
JOIN products ON master_txn_table.Product_Service = products.Product_Service 
WHERE customers.customer_full_name = 'Kevin White' 
  AND products.Product_Service_type = 'Inorganic Gases' 
  AND master_txn_table.Transaction_DATE BETWEEN date('now','-1 month','start of month') AND date('now','-1 month','end of month');",0,,0,0,[],0,,0,0,[],True,True,False,financial_measure_error,The profile measures 'row_count' which is different from the intent's 'quantity' measure kind.,Consider using a measure that counts distinct transactions or invoices instead of transaction lines.,high,"[""COUNT(*) counts transaction lines, not necessarily distinct transactions or invoices.""]",True,True,success,semantic,,Changed COUNT(*) to COUNT(DISTINCT master_txn_table.Transaction_ID) to count distinct transactions instead of transaction lines.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070895,A_correct_executable,What our monthly spend on Carla Whitaker,"select date(transaction_date, 'start of month'), sum(debit) from master_txn_table where vendor = ""Carla Whitaker"" group by date(transaction_date, 'start of month')","SELECT SUM(master_txn_table.Amount) AS Monthly_Spend
FROM master_txn_table
JOIN customers ON master_txn_table.Customers = customers.customer_name
WHERE customers.customer_full_name = 'Carla Whitaker'
AND master_txn_table.Transaction_DATE BETWEEN date('now', 'start of month') AND date('now');","SELECT SUM(master_txn_table.Amount) AS Monthly_Spend
FROM master_txn_table
JOIN customers ON master_txn_table.Customers = customers.customer_name
WHERE customers.customer_full_name = 'Carla Whitaker'
AND master_txn_table.Transaction_DATE BETWEEN date('now', 'start of month') AND date('now')
GROUP BY strftime('%Y-%m', master_txn_table.Transaction_DATE);",0,,0,0,[],1,1,1,1,[],True,True,False,computation_logic_error,The profile topology has 'group_by: none' but the intent requires grouping by month.,Group the spend by month and filter by Carla Whitaker.,high,"[""The profile topology has 'group_by: none' but the intent requires grouping by month.""]",True,True,success,semantic,,Added GROUP BY clause to group spend by month.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070899,A_correct_executable,What acount had our biggest expense This fiscal year?,"select account, sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name  where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date) group by account order by sum(debit) desc limit 1","SELECT account, SUM(debit) AS total_debit
FROM master_txn_table
WHERE transaction_date BETWEEN date('now', 'start of year') AND date('now')
GROUP BY account
ORDER BY total_debit DESC
LIMIT 1;","SELECT account, SUM(debit) AS total_debit
FROM master_txn_table
WHERE transaction_date BETWEEN date('now', 'start of year') AND date('now')
GROUP BY account
ORDER BY total_debit DESC
LIMIT 1;",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070912,A_correct_executable,Compare sales by customer YTD,"select customers, sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date) group by customers ","SELECT 
    c.customer_name, 
    SUM(m.Credit) AS Total_Sales
FROM 
    master_txn_table m
JOIN 
    customers c ON m.Customers = c.customer_name
WHERE 
    m.Transaction_DATE BETWEEN date('now', 'start of year') AND date('now')
GROUP BY 
    c.customer_name
ORDER BY 
    Total_Sales DESC;","SELECT 
    c.customer_name, 
    SUM(m.Credit) AS Total_Sales
FROM 
    master_txn_table m
JOIN 
    customers c ON m.Customers = c.customer_name
WHERE 
    m.Transaction_DATE BETWEEN date('now', 'start of year') AND date('now')
GROUP BY 
    c.customer_name
ORDER BY 
    Total_Sales DESC;",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070913,A_correct_executable,How many Matthew Hunter invoices are still oustanding?,"select count(distinct transaction_id) from master_txn_table where customers = ""Matthew Hunter"" and transaction_type = 'invoice' and open_balance>0","SELECT COUNT(*) 
FROM master_txn_table 
WHERE Customers = 'Matthew Hunter' AND AR_paid = 'No';",SELECT COUNT(*) FROM master_txn_table WHERE Customers = 'Matthew Hunter' AND AR_paid = 'No';,1,1,1,1,[],1,1,1,1,[],True,True,False,financial_measure_error,The profile measures 'row_count' instead of 'count' of invoices.,Verify if the 'row_count' measure correctly represents the count of invoices.,high,"[""COUNT(*) counts transaction lines, not necessarily distinct transactions or invoices.""]",True,True,success,semantic,,Replaced 'row_count' with 'count' to correctly represent the count of invoices.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070915,A_correct_executable,Did we receive payment from Don Moore partnership in q2 this year?,"select transaction_id from master_txn_table where transaction_type = 'payment' and customers = ""Don Moore"" and transaction_date BETWEEN date(current_date, 'start of year','+3 month') AND date(current_date, 'start of year', '+6 month', '-1 day') ","SELECT DISTINCT transaction_id 
FROM master_txn_table 
WHERE Customers = 'Don Moore partnership' 
  AND Transaction_DATE BETWEEN date('now', 'start of year', '+2 months') AND date('now', 'start of year', '+3 months');","SELECT DISTINCT transaction_id 
FROM master_txn_table 
WHERE Customers = 'Don Moore partnership' 
  AND Transaction_DATE BETWEEN date('now', 'start of year', '+2 months') AND date('now', 'start of year', '+3 months');",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070918,A_correct_executable,When was the last time we sold Duplexes,"select transaction_date from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""Duplexes"" order by transaction_date desc limit 1 ","SELECT MAX(transaction_date) AS last_sale_date
FROM master_txn_table
WHERE Product_Service = 'Duplexes' AND Credit > 0;",SELECT MAX(transaction_date) AS last_sale_date FROM master_txn_table WHERE Product_Service = 'Duplexes' AND Credit > 0 GROUP BY Product_Service;,0,,0,0,[],1,1,1,1,[],True,True,False,computation_logic_error,"The profile topology has 'group_by: none', but the intent requires grouping by 'product'.",Consider adding a GROUP BY clause for the 'product' dimension to match the intent's requirements.,high,"[""Product_Service is not an account classifier. Account-level questions should use Account or Account_type, not Product_Service.""]",True,True,success,semantic,,Added GROUP BY clause for the 'product' dimension.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070920,A_correct_executable,When was the last time we sold Non-nuclear,"select transaction_date from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""Non-nuclear"" order by transaction_date desc limit 1 ","SELECT MAX(transaction_date) AS last_sale_date
FROM master_txn_table
WHERE Product_Service = 'Non-nuclear';",SELECT MAX(transaction_date) AS last_sale_date FROM master_txn_table WHERE Product_Service = 'Non-nuclear' GROUP BY Product_Service;,0,,0,0,[],1,1,1,1,[],True,True,False,computation_logic_error,"The profile topology has group_by: 'none', but the intent requires grouping by period.",Consider adding a group_by_period to the query to match the intent's grouping requirement.,high,"[""Product_Service is not an account classifier. Account-level questions should use Account or Account_type, not Product_Service.""]",True,True,success,semantic,,Added GROUP BY clause to match the intent's grouping requirement.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070923,A_correct_executable,What was the last invoice value for golf equipment rental services in today?,"select max(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""golf equipment rental services"") and transaction_date BETWEEN date(current_date) AND date(current_date) ","SELECT MAX(Credit) AS last_invoice_value
FROM master_txn_table
WHERE Product_Service = 'Golf equipment rental services' AND Transaction_TYPE = 'Invoice';",SELECT MAX(Credit) AS last_invoice_value FROM master_txn_table WHERE Product_Service = 'Golf equipment rental services' AND Transaction_TYPE = 'Invoice' AND Transaction_DATE = (SELECT MAX(Transaction_DATE) FROM master_txn_table WHERE Product_Service = 'Golf equipment rental services' AND Transaction_TYPE = 'Invoice'),1,1,1,1,[],1,,,0,[],True,True,False,computation_logic_error,"The profile topology has 'group_by: none', but the intent requires grouping by period.",Group the transactions by period and select the last invoice value for golf equipment rental services in today.,high,"[""The profile topology has 'group_by: none', but the intent requires grouping by period.""]",True,True,success,semantic,,Added a subquery to select the most recent transaction date and filter the results to only include transactions with that date.,high,True,False,False,False,False,False,False,False,False,True,True,not_primary_cohort
booksql_070927,B_wrong_executable,How many Care-planning did we sell to Tracy Phillips This month to date?,"select sum(quantity) from master_txn_table where customers = ""Tracy Phillips"" and product_service = 'Care-planning' and transaction_type in ('invoice', 'sales receipt') and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date) ","SELECT COUNT(DISTINCT master_txn_table.Transaction_ID) 
FROM master_txn_table 
JOIN customers ON master_txn_table.Customers = customers.customer_name 
WHERE customers.customer_full_name = 'Tracy Phillips' 
  AND master_txn_table.Transaction_DATE BETWEEN date('now', 'start of month') AND date('now') 
  AND master_txn_table.Product_Service = 'Care-planning';","SELECT COUNT(master_txn_table.Quantity) FROM master_txn_table JOIN customers ON master_txn_table.Customers = customers.customer_name WHERE customers.customer_full_name = 'Tracy Phillips' AND master_txn_table.Transaction_DATE BETWEEN date('now', 'start of month') AND date('now') AND master_txn_table.Product_Service = 'Care-planning';",0,,0,0,[],0,,0,0,[],True,True,False,financial_measure_error,"The intent requires a measure kind of 'quantity' (summing units sold), but the profile measures 'row_count' or 'distinct_transaction_count'.",Check if the measure kind is correctly set to 'quantity' to match the intent's requirement for summing units sold.,high,"[""The specific entity being counted (Care-planning) is mentioned, but the aggregation is on the quantity sold.""]",True,True,success,semantic,,Changed the measure kind to 'quantity' by using COUNT(master_txn_table.Quantity) instead of COUNT(DISTINCT master_txn_table.Transaction_ID).,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070930,A_correct_executable,What was the average bill Frank Wilkins received from Jennifer Harvey?,"select avg(credit) from master_txn_table where customers = ""Frank Wilkins"" and transaction_type = 'bill' and vendor = ""Jennifer Harvey""","SELECT AVG(master_txn_table.Amount) 
FROM master_txn_table 
JOIN customers ON master_txn_table.Customers = customers.customer_name 
JOIN employees ON master_txn_table.businessID = employees.businessID 
WHERE employees.Employee_name = 'Frank Wilkins' AND customers.customer_full_name = 'Jennifer Harvey';","SELECT AVG(master_txn_table.Amount) 
FROM master_txn_table 
JOIN customers ON master_txn_table.Customers = customers.customer_name 
JOIN employees ON master_txn_table.businessID = employees.businessID 
WHERE employees.Employee_name = 'Frank Wilkins' AND customers.customer_full_name = 'Jennifer Harvey';",1,1,1,1,[],1,1,1,1,[],True,True,False,computation_logic_error,"The profile topology has group_by: 'none', but the intent requires grouping by 'customer' and 'vendor'.",Consider adding a GROUP BY clause to group transactions by 'customer' and 'vendor'.,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070935,A_correct_executable,"As of Last quarter, how many invoices for Lorraine Valdez remained unpaid?","select count(distinct transaction_id) from master_txn_table where customers = ""Lorraine Valdez"" and transaction_type = 'invoice' and open_balance >0 and transaction_date < strftime('%Y-%m-%d', strftime('%Y', 'now', '-1 year') || '-' || substr('00' || (((strftime('%m', 'now') - 1) / 3) * 3 + 4), -2, 2) || '-01') ","SELECT COUNT(*) 
FROM master_txn_table 
WHERE Customers = 'Lorraine Valdez' 
  AND Transaction_TYPE = 'invoice' 
  AND AR_paid = 'No' 
  AND Transaction_DATE BETWEEN date('now','-3 months') AND date('now','-1 month');","SELECT COUNT(DISTINCT Transaction_ID) FROM master_txn_table WHERE Customers = 'Lorraine Valdez' AND Transaction_TYPE = 'invoice' AND AR_paid = 'No' AND Transaction_DATE BETWEEN date('now','-3 months') AND date('now','-1 month');",1,1,1,1,[],1,1,1,1,[],True,True,False,financial_measure_error,The profile measures 'row_count' which is different from the intent's 'count' measure kind.,Consider using a distinct count or a different aggregation measure to match the intent's 'count' measure kind.,high,"[""COUNT(*) counts transaction lines, not necessarily distinct transactions or invoices.""]",True,True,success,semantic,,Changed COUNT(*) to COUNT(DISTINCT Transaction_ID) to match the intent's 'count' measure kind.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070936,A_correct_executable,Number of invoices created for Retailing formal dining furniture in YTD?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""Retailing formal dining furniture"") and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date)","SELECT COUNT(DISTINCT Transaction_ID) 
FROM master_txn_table 
WHERE Product_Service = 'Retailing formal dining furniture' 
  AND Transaction_TYPE = 'Invoice' 
  AND Transaction_DATE BETWEEN DATE('now', 'start of year') AND DATE('now');","SELECT COUNT(DISTINCT Transaction_ID) 
FROM master_txn_table 
WHERE Product_Service = 'Retailing formal dining furniture' 
  AND Transaction_TYPE = 'Invoice' 
  AND Transaction_DATE BETWEEN DATE('now', 'start of year') AND DATE('now');",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070938,A_correct_executable,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,"SELECT avg(quantity_per_transaction) FROM (select transaction_id, sum(quantity) as quantity_per_transaction from master_txn_table where transaction_type = 'sales receipt' and payment_method  =  ""[payment_method]"" group by transaction_id) ","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'",1,,,0,[],1,,,0,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
